TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# language = de
# newspaper = NZZ
# date = 1918-11-08
# document_id = NZZ-1918-11-08-a-p0001
# segment_iiif_link = _
Hüdskawische	O	O	O	O	O	O	_	_	_
Konferenz	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Genf	B-loc	O	B-loc.adm.town	O	O	O	Q71	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
Genf	B-loc	O	B-loc.adm.town	O	O	O	Q71	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
7	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
Nov	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
A	B-pers	O	B-pers.ind.articleauthor	O	O	O	NIL	_	NoSpaceAfter
.	I-pers	O	I-pers.ind.articleauthor	O	O	O	NIL	_	_
Ch	I-pers	O	I-pers.ind.articleauthor	O	O	O	NIL	_	NoSpaceAfter
.	I-pers	O	I-pers.ind.articleauthor	O	O	O	NIL	_	_
Der	O	O	O	O	O	O	_	_	_
heutige	O	O	O	O	O	O	_	_	_
zweite	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
Verhandlungstag	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
jugoslawischen	O	O	O	O	O	O	_	_	_
Konferenz	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
zeitigte	O	O	O	O	O	O	_	_	_
äußerst	O	O	O	O	O	O	_	_	_
wichtige	O	O	O	O	O	O	_	_	_
Ergebnisse	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
In	O	O	O	O	O	O	_	_	_
zwei	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
Sitzungen	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
erhebliche	O	O	O	O	O	O	_	_	_
Schwierigkeiten	O	O	O	O	O	O	_	_	_
über	O	O	O	O	O	O	_	_	NoSpaceAfter
¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
wunden	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
auf	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
gefaßt	O	O	O	O	O	O	_	_	_
sein	O	O	O	O	O	O	_	_	_
konnte	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
Diese	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
Schwierigkeiten	O	O	O	O	O	O	_	_	_
wurzeln	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
gipfeln	O	O	O	O	O	O	_	_	_
darin	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
daß	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
ein	O	O	O	O	O	O	_	_	_
serbischer	O	O	O	O	O	O	_	_	_
Staat	O	O	O	O	O	O	_	_	_
existiert	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
während	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
jugoslawische	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
auch	O	O	O	O	O	O	_	_	_
diesen	O	O	O	O	O	O	_	_	_
umfassen	O	O	O	O	O	O	_	_	_
soll	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
erst	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
errichtet	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
Die	O	O	O	O	O	O	_	_	_
Opposition	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Vertreter	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
der	O	O	O	O	O	O	_	_	_
serbischen	O	O	O	O	O	O	_	_	_
Regierung	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
mit	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
