TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# language = fr
# newspaper = GDL
# date = 1878-02-22
# document_id = GDL-1878-02-22-a-i0014
# segment_iiif_link = _
LAUSANNE	B-loc	O	B-loc.adm.town	O	O	O	Q807	_	EndOfLine
# segment_iiif_link = _
On	O	O	O	O	O	O	_	_	_
nous	O	O	O	O	O	O	_	_	_
prie	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
faire	O	O	O	O	O	O	_	_	_
connaître	O	O	O	O	O	O	_	_	_
le	O	O	O	O	O	O	_	_	_
résultat	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
Sécuniaire	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
quatre	O	O	O	O	O	O	_	_	_
conférences	O	O	O	O	O	O	_	_	_
sur	O	O	O	O	O	O	_	_	_
l'	O	O	O	O	O	O	_	_	NoSpaceAfter
Orient	B-loc	O	B-loc.adm.sup	O	O	O	Q205653	_	EndOfLine
# segment_iiif_link = _
e	O	O	O	O	O	O	_	_	_
M	B-pers	O	B-pers.ind	O	B-comp.title	O	Q123894	_	NoSpaceAfter
.	I-pers	O	I-pers.ind	O	I-comp.title	O	Q123894	_	_
le	I-pers	O	I-pers.ind	O	O	O	Q123894	_	_
professeur	I-pers	O	I-pers.ind	O	B-comp.function	O	Q123894	_	_
Gilliéron	I-pers	O	I-pers.ind	O	B-comp.name	O	Q123894	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
Les	O	O	O	O	O	O	_	_	_
deux	O	O	O	O	O	O	_	_	_
premières	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
destinées	O	O	O	O	O	O	_	_	_
aux	O	O	O	O	O	O	_	_	_
Ecoles	B-org	O	B-org.ent	O	O	O	NIL	_	EndOfLine
# segment_iiif_link = _
des	I-org	O	I-org.ent	O	O	O	NIL	_	_
Terreaux	I-org	O	I-org.ent	O	O	O	NIL	_	_
ont	O	O	O	O	O	O	_	_	_
produit	O	O	O	O	O	O	_	_	_
450	O	O	O	O	O	O	_	_	_
fr	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
;	O	O	O	O	O	O	_	_	_
les	O	O	O	O	O	O	_	_	_
deux	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
dernières	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
dont	O	O	O	O	O	O	_	_	_
le	O	O	O	O	O	O	_	_	_
bénéfice	O	O	O	O	O	O	_	_	_
est	O	O	O	O	O	O	_	_	_
à	O	O	O	O	O	O	_	_	_
répartir	O	O	O	O	O	O	_	_	_
entre	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
les	O	O	O	O	O	O	_	_	_
protestants	O	O	O	O	O	O	_	_	_
disséminés	O	O	O	O	O	O	_	_	_
et	O	O	O	O	O	O	_	_	_
les	O	O	O	O	O	O	_	_	_
victimes	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
la	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
guerre	O	O	O	O	O	O	_	_	_
d'	O	O	O	O	O	O	_	_	NoSpaceAfter
Orient	B-loc	O	B-loc.adm.sup	O	O	O	Q205653	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
ont	O	O	O	O	O	O	_	_	_
donné	O	O	O	O	O	O	_	_	_
310	O	O	O	O	O	O	_	_	_
fr	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
De	O	O	O	O	O	O	_	_	_
ces	O	O	O	O	O	O	_	_	_
760	O	O	O	O	O	O	_	_	_
fr	O	O	O	O	O	O	_	_	_
.	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
il	O	O	O	O	O	O	_	_	_
y	O	O	O	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
à	O	O	O	O	O	O	_	_	_
déduire	O	O	O	O	O	O	_	_	_
les	O	O	O	O	O	O	_	_	_
faux	O	O	O	O	O	O	_	_	_
frais	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
qui	O	O	O	O	O	O	_	_	_
s'	O	O	O	O	O	O	_	_	NoSpaceAfter
élèvent	O	O	O	O	O	O	_	_	_
à	O	O	O	O	O	O	_	_	_
54	O	O	O	O	O	O	_	_	_
fr	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
La	O	O	O	O	O	O	_	_	_
municipalité	O	O	O	O	O	O	_	_	_
a	O	O	O	O	O	O	_	_	_
eu	O	O	O	O	O	O	_	_	_
la	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
bienveillance	O	O	O	O	O	O	_	_	_
d'	O	O	O	O	O	O	_	_	NoSpaceAfter
accorder	O	O	O	O	O	O	_	_	_
gratuitement	O	O	O	O	O	O	_	_	_
la	O	O	O	O	O	O	_	_	_
salle	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
du	O	O	O	O	O	O	_	_	_
Musée	B-org	B-loc	B-org.ent	B-loc.fac	O	O	NIL	NIL	_
industriel	I-org	I-loc	I-org.ent	I-loc.fac	O	O	NIL	NIL	NoSpaceAfter
.	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
La	O	O	O	O	O	O	_	_	_
commission	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
Ecoles	B-org	O	B-org.ent	O	O	O	NIL	_	_
des	I-org	O	I-org.ent	O	O	O	NIL	_	_
Terraux	I-org	O	I-org.ent	O	O	O	NIL	_	_
et	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
le	O	O	O	O	O	O	_	_	_
comité	O	O	O	O	O	O	_	_	_
des	O	O	O	O	O	O	_	_	_
protestants	O	O	O	O	O	O	_	_	_
disséminés	O	O	O	O	O	O	_	_	_
s'	O	O	O	O	O	O	_	_	NoSpaceAfter
unissent	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
