TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# language = de
# newspaper = NZZ
# date = 1798-01-20
# document_id = NZZ-1798-01-20-a-p0001
# segment_iiif_link = _
Frankreich	B-loc	O	B-loc.adm.nat	O	O	O	Q142	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
Gesetzgeber	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
Den	O	O	O	O	O	O	_	_	_
19	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
Niv	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
(	O	O	O	O	O	O	_	_	NoSpaceAfter
8	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
Jän	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	NoSpaceAfter
)	O	O	O	O	O	O	_	_	_
ward	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
die	O	O	O	O	O	O	_	_	_
Staatskleidung	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Sekretär	O	O	O	O	O	O	_	_	NoSpaceAfter
-	O	O	O	O	O	O	_	_	NoSpaceAfter
Redacteurs	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
Staatsbothen	O	O	O	O	O	O	_	_	_
und	O	O	O	O	O	O	_	_	_
Thorwächter	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
beyde	O	O	O	O	O	O	_	_	_
Räthe	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
bestimmt	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
Auf	O	O	O	O	O	O	_	_	_
Talot	B-pers	O	B-pers.ind	O	O	O	Q3308788	_	NoSpaceAfter
'	I-pers	O	I-pers.ind	O	O	O	Q3308788	_	NoSpaceAfter
s	I-pers	O	I-pers.ind	O	O	O	Q3308788	_	_
Vorschlag	O	O	O	O	O	O	_	_	_
beschloß	O	O	O	O	O	O	_	_	_
man	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
über	O	O	O	O	O	O	_	_	_
den	O	O	O	O	O	O	_	_	_
constitutionellen	O	O	O	O	O	O	_	_	_
Umkreis	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
welchen	O	O	O	O	O	O	_	_	_
das	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
gesetzgebende	O	O	O	O	O	O	_	_	_
Corps	O	O	O	O	O	O	_	_	_
in	O	O	O	O	O	O	_	_	_
Zukunft	O	O	O	O	O	O	_	_	_
inne	O	O	O	O	O	O	_	_	_
haben	O	O	O	O	O	O	_	_	_
soll	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
fol	O	O	O	O	O	O	_	_	NoSpaceAfter
¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
gendes	O	O	O	O	O	O	_	_	NoSpaceAfter
:	O	O	O	O	O	O	_	_	_
Vom	O	O	O	O	O	O	_	_	_
Tage	O	O	O	O	O	O	_	_	_
an	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
da	O	O	O	O	O	O	_	_	_
der	O	O	O	O	O	O	_	_	_
Rath	B-org	O	B-org.adm	O	O	O	Q617290	_	_
der	I-org	O	I-org.adm	O	O	O	Q617290	_	_
500	I-org	O	I-org.adm	O	O	O	Q617290	_	_
in	O	O	O	O	O	O	_	_	_
sei	O	O	O	O	O	O	_	_	NoSpaceAfter
¬	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
nen	O	O	O	O	O	O	_	_	_
neuen	O	O	O	O	O	O	_	_	_
Pallast	O	O	O	O	O	O	_	_	_
installirt	O	O	O	O	O	O	_	_	_
seyn	O	O	O	O	O	O	_	_	_
wird	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
sind	O	O	O	O	O	O	_	_	_
die	O	O	O	O	O	O	_	_	EndOfLine|NoSpaceAfter
# segment_iiif_link = _
äußerlichen	O	O	O	O	O	O	_	_	_
Bezirke	O	O	O	O	O	O	_	_	_
für	O	O	O	O	O	O	_	_	_
beyde	O	O	O	O	O	O	_	_	_
Räthe	O	O	O	O	O	O	_	_	_
