TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# language = fr
# newspaper = EXP
# date = 1908-01-21
# document_id = EXP-1908-01-21-a-i0053
# segment_iiif_link = _
POLITIQUE	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
M	B-pers	O	B-pers.ind	O	B-comp.title	O	Q124618	_	NoSpaceAfter
.	I-pers	O	I-pers.ind	O	I-comp.title	O	Q124618	_	_
Ilg	I-pers	O	I-pers.ind	O	B-comp.name	O	Q124618	_	_
et	O	O	O	O	O	O	_	_	_
Ménélik	B-pers	O	B-pers.ind	O	O	O	Q244748	_	EndOfLine
# segment_iiif_link = _
On	O	O	O	O	O	O	_	_	NoSpaceAfter
-	O	O	O	O	O	O	_	_	NoSpaceAfter
écrit	O	O	O	O	O	O	_	_	_
aux	O	O	O	O	O	O	_	_	_
«	O	O	O	O	O	O	_	_	_
Neuc	B-prod	O	B-prod.media	O	O	O	Q658945	_	_
Ziircher	I-prod	O	I-prod.media	O	O	O	Q658945	_	_
Nachrichten	I-prod	O	I-prod.media	O	O	O	Q658945	_	_
»	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
Dans	O	O	O	O	O	O	_	_	_
un	O	O	O	O	O	O	_	_	_
long	O	O	O	O	O	O	_	_	_
rapport	O	O	O	O	O	O	_	_	_
adressé	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
d	O	O	O	O	O	O	_	_	NoSpaceAfter
'	O	O	O	O	O	O	_	_	NoSpaceAfter
Adis	B-loc	O	B-loc.adm.town	O	O	O	Q3624	_	NoSpaceAfter
-	I-loc	O	I-loc.adm.town	O	O	O	Q3624	_	NoSpaceAfter
Abbeba	I-loc	O	I-loc.adm.town	O	O	O	Q3624	_	_
aux	O	O	O	O	O	O	_	_	_
journaux	O	O	O	O	O	O	_	_	_
russes	O	O	O	O	O	O	_	_	_
(	O	O	O	O	O	O	_	_	NoSpaceAfter
la	O	O	O	O	O	O	_	_	_
Russie	B-loc	O	B-loc.adm.nat	O	O	O	Q159	_	_
à	O	O	O	O	O	O	_	_	_
un	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
agent	O	O	O	O	O	O	_	_	_
diplomatique	O	O	O	O	O	O	_	_	_
auprès	O	O	O	O	O	O	_	_	_
du	O	O	O	O	O	O	_	_	_
négus	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
mais	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
agit	O	O	O	O	O	O	_	_	_
en	O	O	O	O	O	O	_	_	_
outre	O	O	O	O	O	O	_	_	_
en	O	O	O	O	O	O	_	_	_
Abyssinie	B-loc	O	B-loc.adm.nat	O	O	O	Q207521	_	_
par	O	O	O	O	O	O	_	_	_
l	O	O	O	O	O	O	_	_	NoSpaceAfter
'	O	O	O	O	O	O	_	_	NoSpaceAfter
intermédiaire	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
de	O	O	O	O	O	O	_	_	_
l	O	O	O	O	O	O	_	_	NoSpaceAfter
'	O	O	O	O	O	O	_	_	NoSpaceAfter
Eglise	B-org	O	B-org.ent	O	O	O	Q35032	_	_
orthodoxe	I-org	O	I-org.ent	O	O	O	Q35032	_	NoSpaceAfter
)	O	O	O	O	O	O	_	_	_
la	O	O	O	O	O	O	_	_	_
nouvelle	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
la	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
disgrâce	O	O	O	O	O	O	_	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
M	B-pers	O	B-pers.ind	O	B-comp.title	O	Q124618	_	_
.	I-pers	O	I-pers.ind	O	I-comp.title	O	Q124618	_	NoSpaceAfter
.	I-pers	O	I-pers.ind	O	O	O	Q124618	_	_
l	I-pers	O	I-pers.ind	O	O	O	Q124618	_	NoSpaceAfter
'	I-pers	O	I-pers.ind	O	O	O	Q124618	_	NoSpaceAfter
ingénieur	I-pers	O	I-pers.ind	O	B-comp.function	O	Q124618	_	_
Ilg	I-pers	O	I-pers.ind	O	B-comp.name	O	Q124618	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
de	O	O	O	O	O	O	_	_	_
Zurich	B-loc	O	B-loc.adm.town	O	O	O	Q72	_	NoSpaceAfter
,	O	O	O	O	O	O	_	_	_
est	O	O	O	O	O	O	_	_	EndOfLine
# segment_iiif_link = _
p	O	O	O	O	O	O	_	_	_
leinement	O	O	O	O	O	O	_	_	_
confirmée	O	O	O	O	O	O	_	_	NoSpaceAfter
.	O	O	O	O	O	O	_	_	_
Tous	O	O	O	O	O	O	_	_	_
les	O	O	O	O	O	O	_	_	_
biens	O	O	O	O	O	O	_	_	_
que	O	O	O	O	O	O	_	_	_
M	B-pers	O	B-pers.ind	O	B-comp.title	O	Q124618	_	NoSpaceAfter
.	I-pers	O	I-pers.ind	O	I-comp.title	O	Q124618	_	EndOfLine
# segment_iiif_link = _
Ilg	I-pers	O	I-pers.ind	O	B-comp.name	O	Q124618	_	_
possédait	O	O	O	O	O	O	_	_	NoSpaceAfter
