System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team10_bundle1_de_2	NE-COARSE-LIT-micro-fuzzy	ALL	0.87	0.886	0.878				1016	152	131
team10_bundle1_de_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.838	0.886	0.861				1016	196	131
team10_bundle1_de_3	NE-COARSE-LIT-micro-fuzzy	ALL	0.838	0.886	0.861				1016	196	131
team28_bundle4_de_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.775	0.819	0.796				939	272	208
team1_bundle3_de_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.814	0.765	0.789				877	200	270
team1_bundle3_de_2	NE-COARSE-LIT-micro-fuzzy	ALL	0.807	0.763	0.784				875	209	272
team28_bundle4_de_2	NE-COARSE-LIT-micro-fuzzy	ALL	0.784	0.785	0.784				900	248	247
team1_bundle3_de_3	NE-COARSE-LIT-micro-fuzzy	ALL	0.787	0.775	0.781				889	240	258
team8_bundle4_de_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.88	0.683	0.769				783	107	364
team8_bundle4_de_2	NE-COARSE-LIT-micro-fuzzy	ALL	0.88	0.682	0.768				782	107	365
team8_bundle4_de_3	NE-COARSE-LIT-micro-fuzzy	ALL	0.88	0.677	0.765				776	106	371
team23_bundle4_de_2	NE-COARSE-LIT-micro-fuzzy	ALL	0.788	0.74	0.763				849	229	298
team23_bundle4_de_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.817	0.694	0.751				796	178	351
team31_bundle2_de_2	NE-COARSE-LIT-micro-fuzzy	ALL	0.689	0.768	0.726				881	398	266
team33_bundle2_de_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.73	0.708	0.719				812	300	335
team31_bundle2_de_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.618	0.8	0.697				918	568	229
team28_bundle4_de_3	NE-COARSE-LIT-micro-fuzzy	ALL	0.8	0.544	0.648				624	156	523
baseline_bundle4_de_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.79	0.464	0.585				532	141	615
team40_bundle4_de_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.833	0.405	0.545				464	93	683
team23_bundle4_de_3	NE-COARSE-LIT-micro-fuzzy	ALL	0.24	0.408	0.302				468	1480	679
team10_bundle1_de_2	NE-COARSE-METO-micro-fuzzy	ALL	0.626	0.78	0.694				92	55	26
team10_bundle1_de_1	NE-COARSE-METO-micro-fuzzy	ALL	0.615	0.771	0.684				91	57	27
team10_bundle1_de_3	NE-COARSE-METO-micro-fuzzy	ALL	0.615	0.771	0.684				91	57	27
team8_bundle4_de_1	NE-COARSE-METO-micro-fuzzy	ALL	0.787	0.534	0.636				63	17	55
team8_bundle4_de_2	NE-COARSE-METO-micro-fuzzy	ALL	0.787	0.534	0.636				63	17	55
team8_bundle4_de_3	NE-COARSE-METO-micro-fuzzy	ALL	0.787	0.534	0.636				63	17	55
team1_bundle3_de_3	NE-COARSE-METO-micro-fuzzy	ALL	0.707	0.551	0.619				65	27	53
team1_bundle3_de_1	NE-COARSE-METO-micro-fuzzy	ALL	0.718	0.475	0.571				56	22	62
team1_bundle3_de_2	NE-COARSE-METO-micro-fuzzy	ALL	0.718	0.475	0.571				56	22	62
baseline_bundle4_de_1	NE-COARSE-METO-micro-fuzzy	ALL	0.814	0.297	0.435				35	8	83
team33_bundle2_de_1	NE-COARSE-METO-micro-fuzzy	ALL	0.003	0.025	0.005				3	1109	115
team23_bundle4_de_1	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	118
team23_bundle4_de_2	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	118
team23_bundle4_de_3	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	118
team28_bundle4_de_1	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	118
team28_bundle4_de_2	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	118
team28_bundle4_de_3	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	118
team31_bundle2_de_1	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	118
team31_bundle2_de_2	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	118
team40_bundle4_de_1	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	118
