System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team10_bundle1_de_2	NE-COARSE-LIT-micro-strict	ALL	0.79	0.805	0.797				923	245	224
team10_bundle1_de_1	NE-COARSE-LIT-micro-strict	ALL	0.764	0.807	0.785				926	286	221
team10_bundle1_de_3	NE-COARSE-LIT-micro-strict	ALL	0.764	0.807	0.785				926	286	221
team1_bundle3_de_2	NE-COARSE-LIT-micro-strict	ALL	0.697	0.659	0.678				756	328	391
team1_bundle3_de_1	NE-COARSE-LIT-micro-strict	ALL	0.693	0.65	0.671				746	331	401
team28_bundle4_de_2	NE-COARSE-LIT-micro-strict	ALL	0.658	0.658	0.658				755	393	392
team1_bundle3_de_3	NE-COARSE-LIT-micro-strict	ALL	0.658	0.648	0.653				743	386	404
team8_bundle4_de_1	NE-COARSE-LIT-micro-strict	ALL	0.745	0.578	0.651				663	227	484
team8_bundle4_de_2	NE-COARSE-LIT-micro-strict	ALL	0.744	0.576	0.649				661	228	486
team28_bundle4_de_1	NE-COARSE-LIT-micro-strict	ALL	0.631	0.666	0.648				764	447	383
team8_bundle4_de_3	NE-COARSE-LIT-micro-strict	ALL	0.738	0.568	0.642				651	231	496
team23_bundle4_de_1	NE-COARSE-LIT-micro-strict	ALL	0.677	0.575	0.621				659	315	488
team23_bundle4_de_2	NE-COARSE-LIT-micro-strict	ALL	0.638	0.6	0.618				688	390	459
team31_bundle2_de_2	NE-COARSE-LIT-micro-strict	ALL	0.499	0.556	0.526				638	641	509
team28_bundle4_de_3	NE-COARSE-LIT-micro-strict	ALL	0.644	0.438	0.521				502	278	645
team33_bundle2_de_1	NE-COARSE-LIT-micro-strict	ALL	0.499	0.484	0.491				555	557	592
baseline_bundle4_de_1	NE-COARSE-LIT-micro-strict	ALL	0.643	0.378	0.476				433	240	714
team31_bundle2_de_1	NE-COARSE-LIT-micro-strict	ALL	0.406	0.527	0.459				604	882	543
team40_bundle4_de_1	NE-COARSE-LIT-micro-strict	ALL	0.695	0.337	0.454				387	170	760
team23_bundle4_de_3	NE-COARSE-LIT-micro-strict	ALL	0.178	0.302	0.224				346	1602	801
team10_bundle1_de_2	NE-COARSE-METO-micro-strict	ALL	0.571	0.712	0.634				84	63	34
team10_bundle1_de_1	NE-COARSE-METO-micro-strict	ALL	0.568	0.712	0.632				84	64	34
team10_bundle1_de_3	NE-COARSE-METO-micro-strict	ALL	0.568	0.712	0.632				84	64	34
team1_bundle3_de_3	NE-COARSE-METO-micro-strict	ALL	0.696	0.542	0.61				64	28	54
team8_bundle4_de_1	NE-COARSE-METO-micro-strict	ALL	0.738	0.5	0.596				59	21	59
team8_bundle4_de_2	NE-COARSE-METO-micro-strict	ALL	0.738	0.5	0.596				59	21	59
team8_bundle4_de_3	NE-COARSE-METO-micro-strict	ALL	0.738	0.5	0.596				59	21	59
team1_bundle3_de_1	NE-COARSE-METO-micro-strict	ALL	0.718	0.475	0.571				56	22	62
team1_bundle3_de_2	NE-COARSE-METO-micro-strict	ALL	0.718	0.475	0.571				56	22	62
baseline_bundle4_de_1	NE-COARSE-METO-micro-strict	ALL	0.814	0.297	0.435				35	8	83
team33_bundle2_de_1	NE-COARSE-METO-micro-strict	ALL	0.002	0.017	0.003				2	1110	116
team23_bundle4_de_1	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	118
team23_bundle4_de_2	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	118
team23_bundle4_de_3	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	118
team28_bundle4_de_1	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	118
team28_bundle4_de_2	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	118
team28_bundle4_de_3	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	118
team31_bundle2_de_1	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	118
team31_bundle2_de_2	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	118
team40_bundle4_de_1	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	118
