System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team10_bundle1_de_2	NE-FINE-COMP-micro-fuzzy	ALL	0.654	0.768	0.707				331	175	100
team10_bundle1_de_1	NE-FINE-COMP-micro-fuzzy	ALL	0.696	0.717	0.706				309	135	122
team10_bundle1_de_3	NE-FINE-COMP-micro-fuzzy	ALL	0.696	0.717	0.706				309	135	122
team1_bundle3_de_3	NE-FINE-COMP-micro-fuzzy	ALL	0.735	0.534	0.618				230	83	201
team1_bundle3_de_1	NE-FINE-COMP-micro-fuzzy	ALL	0.753	0.466	0.576				201	66	230
team1_bundle3_de_2	NE-FINE-COMP-micro-fuzzy	ALL	0.753	0.466	0.576				201	66	230
team10_bundle1_de_2	NE-FINE-LIT-micro-fuzzy	ALL	0.734	0.813	0.771				932	338	215
team10_bundle1_de_1	NE-FINE-LIT-micro-fuzzy	ALL	0.716	0.812	0.761				931	369	216
team10_bundle1_de_3	NE-FINE-LIT-micro-fuzzy	ALL	0.716	0.812	0.761				931	369	216
team1_bundle3_de_2	NE-FINE-LIT-micro-fuzzy	ALL	0.754	0.687	0.719				788	257	359
team1_bundle3_de_1	NE-FINE-LIT-micro-fuzzy	ALL	0.717	0.663	0.689				761	300	386
team1_bundle3_de_3	NE-FINE-LIT-micro-fuzzy	ALL	0.701	0.67	0.685				769	328	378
team10_bundle1_de_2	NE-FINE-METO-micro-fuzzy	ALL	0.659	0.771	0.711				91	47	27
team10_bundle1_de_1	NE-FINE-METO-micro-fuzzy	ALL	0.622	0.754	0.682				89	54	29
team10_bundle1_de_3	NE-FINE-METO-micro-fuzzy	ALL	0.622	0.754	0.682				89	54	29
team1_bundle3_de_3	NE-FINE-METO-micro-fuzzy	ALL	0.717	0.559	0.629				66	26	52
team1_bundle3_de_1	NE-FINE-METO-micro-fuzzy	ALL	0.718	0.475	0.571				56	22	62
team1_bundle3_de_2	NE-FINE-METO-micro-fuzzy	ALL	0.718	0.475	0.571				56	22	62
team10_bundle1_de_1	NE-NESTED-micro-fuzzy	ALL	0.517	0.616	0.562				45	42	28
team10_bundle1_de_3	NE-NESTED-micro-fuzzy	ALL	0.517	0.616	0.562				45	42	28
team10_bundle1_de_2	NE-NESTED-micro-fuzzy	ALL	0.588	0.411	0.484				30	21	43
team1_bundle3_de_1	NE-NESTED-micro-fuzzy	ALL	0.0	0.0	0				0	2	73
team1_bundle3_de_2	NE-NESTED-micro-fuzzy	ALL	0.0	0.0	0				0	2	73
team1_bundle3_de_3	NE-NESTED-micro-fuzzy	ALL	0	0.0	0				0	0	73
