System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team10_bundle5_de_3	NEL-LIT-micro-fuzzy-@1	ALL	0.581	0.582	0.582				665	479	478
team10_bundle5_de_1	NEL-LIT-micro-fuzzy-@1	ALL	0.565	0.564	0.565				645	497	498
team10_bundle5_de_2	NEL-LIT-micro-fuzzy-@1	ALL	0.564	0.563	0.564				644	498	499
team33_bundle5_de_1	NEL-LIT-micro-fuzzy-@1	ALL	0.615	0.349	0.445				399	250	744
aidalight-baseline_bundle5_de_1	NEL-LIT-micro-fuzzy-@1	ALL	0.42	0.416	0.418				475	655	668
team10_bundle5_de_3	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.601	0.602	0.602				688	456	455
team10_bundle5_de_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.588	0.587	0.587				671	471	472
team10_bundle5_de_2	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.587	0.586	0.586				670	472	473
team33_bundle5_de_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.636	0.361	0.461				413	236	730
aidalight-baseline_bundle5_de_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.44	0.435	0.437				497	633	646
team10_bundle5_de_3	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.688	0.689	0.688				787	357	356
team10_bundle5_de_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.67	0.669	0.67				765	377	378
team10_bundle5_de_2	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.666	0.666	0.666				761	381	382
team33_bundle5_de_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.673	0.382	0.488				437	212	706
aidalight-baseline_bundle5_de_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.44	0.435	0.437				497	633	646
team10_bundle5_de_3	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.696	0.696	0.696				796	348	347
team10_bundle5_de_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.679	0.678	0.678				775	367	368
team10_bundle5_de_2	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.674	0.674	0.674				770	372	373
team33_bundle5_de_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.686	0.389	0.497				445	204	698
aidalight-baseline_bundle5_de_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.44	0.435	0.437				497	633	646
team10_bundle5_de_1	NEL-METO-micro-fuzzy-@1	ALL	0.443	0.627	0.519				74	93	44
team10_bundle5_de_2	NEL-METO-micro-fuzzy-@1	ALL	0.443	0.627	0.519				74	93	44
team10_bundle5_de_3	NEL-METO-micro-fuzzy-@1	ALL	0.431	0.61	0.505				72	95	46
aidalight-baseline_bundle5_de_1	NEL-METO-micro-fuzzy-@1	ALL	0.265	0.373	0.31				44	122	74
team33_bundle5_de_1	NEL-METO-micro-fuzzy-@1	ALL	0	0.0	0				0	0	118
team10_bundle5_de_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.515	0.729	0.604				86	81	32
team10_bundle5_de_2	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.515	0.729	0.604				86	81	32
team10_bundle5_de_3	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.485	0.686	0.568				81	86	37
aidalight-baseline_bundle5_de_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.331	0.466	0.387				55	111	63
team33_bundle5_de_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0	0.0	0				0	0	118
team10_bundle5_de_3	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.617	0.873	0.723				103	64	15
team10_bundle5_de_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.593	0.839	0.695				99	68	19
team10_bundle5_de_2	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.593	0.839	0.695				99	68	19
aidalight-baseline_bundle5_de_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.331	0.466	0.387				55	111	63
team33_bundle5_de_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0	0.0	0				0	0	118
team10_bundle5_de_3	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.617	0.873	0.723				103	64	15
team10_bundle5_de_1	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.593	0.839	0.695				99	68	19
team10_bundle5_de_2	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.593	0.839	0.695				99	68	19
aidalight-baseline_bundle5_de_1	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.331	0.466	0.387				55	111	63
team33_bundle5_de_1	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0	0.0	0				0	0	118
