System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team10_bundle1_en_1	NE-FINE-COMP-micro-fuzzy	ALL	0	0	0				0	0	0
team10_bundle1_en_2	NE-FINE-COMP-micro-fuzzy	ALL	0	0	0				0	0	0
team10_bundle1_en_3	NE-FINE-COMP-micro-fuzzy	ALL	0.0	0	0				0	2	0
team1_bundle3_en_1	NE-FINE-COMP-micro-fuzzy	ALL	0	0	0				0	0	0
team1_bundle3_en_2	NE-FINE-COMP-micro-fuzzy	ALL	0	0	0				0	0	0
team10_bundle1_en_3	NE-FINE-LIT-micro-fuzzy	ALL	0.733	0.817	0.773				367	134	82
team10_bundle1_en_1	NE-FINE-LIT-micro-fuzzy	ALL	0.721	0.8	0.758				359	139	90
team10_bundle1_en_2	NE-FINE-LIT-micro-fuzzy	ALL	0.694	0.784	0.736				352	155	97
team1_bundle3_en_2	NE-FINE-LIT-micro-fuzzy	ALL	0.394	0.599	0.476				269	413	180
team1_bundle3_en_1	NE-FINE-LIT-micro-fuzzy	ALL	0.373	0.653	0.475				293	492	156
team10_bundle1_en_3	NE-FINE-METO-micro-fuzzy	ALL	1.0	0.16	0.276				4	0	21
team10_bundle1_en_2	NE-FINE-METO-micro-fuzzy	ALL	0.375	0.12	0.182				3	5	22
team10_bundle1_en_1	NE-FINE-METO-micro-fuzzy	ALL	0.0	0.0	0				0	12	25
team1_bundle3_en_1	NE-FINE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	25
team1_bundle3_en_2	NE-FINE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	25
