System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team10_bundle1_en_1	NE-FINE-COMP-micro-strict	ALL	0	0	0				0	0	0
team10_bundle1_en_2	NE-FINE-COMP-micro-strict	ALL	0	0	0				0	0	0
team10_bundle1_en_3	NE-FINE-COMP-micro-strict	ALL	0.0	0	0				0	2	0
team1_bundle3_en_1	NE-FINE-COMP-micro-strict	ALL	0	0	0				0	0	0
team1_bundle3_en_2	NE-FINE-COMP-micro-strict	ALL	0	0	0				0	0	0
team10_bundle1_en_1	NE-FINE-LIT-micro-strict	ALL	0.554	0.615	0.583				276	222	173
team10_bundle1_en_3	NE-FINE-LIT-micro-strict	ALL	0.547	0.61	0.577				274	227	175
team10_bundle1_en_2	NE-FINE-LIT-micro-strict	ALL	0.513	0.579	0.544				260	247	189
team1_bundle3_en_1	NE-FINE-LIT-micro-strict	ALL	0.252	0.441	0.321				198	587	251
team1_bundle3_en_2	NE-FINE-LIT-micro-strict	ALL	0.26	0.394	0.313				177	505	272
team10_bundle1_en_3	NE-FINE-METO-micro-strict	ALL	0.75	0.12	0.207				3	1	22
team10_bundle1_en_2	NE-FINE-METO-micro-strict	ALL	0.25	0.08	0.121				2	6	23
team10_bundle1_en_1	NE-FINE-METO-micro-strict	ALL	0.0	0.0	0				0	12	25
team1_bundle3_en_1	NE-FINE-METO-micro-strict	ALL	0	0.0	0				0	0	25
team1_bundle3_en_2	NE-FINE-METO-micro-strict	ALL	0	0.0	0				0	0	25
