System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team10_bundle1_en_3	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.523	0.539	0.531				240	219	205
team10_bundle1_en_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.514	0.533	0.523				237	224	208
team10_bundle1_en_2	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.496	0.506	0.501				225	229	220
team31_bundle2_en_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.249	0.375	0.3				167	503	278
team33_bundle2_en_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.257	0.097	0.141				43	124	402
team10_bundle1_en_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.627	0.649	0.638				289	172	156
team10_bundle1_en_3	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.623	0.643	0.633				286	173	159
team10_bundle1_en_2	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.597	0.609	0.603				271	183	174
team31_bundle2_en_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.285	0.429	0.343				191	479	254
team33_bundle2_en_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.299	0.112	0.163				50	117	395
team10_bundle1_en_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.651	0.674	0.662				300	161	145
team10_bundle1_en_3	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.643	0.663	0.653				295	164	150
team10_bundle1_en_2	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.619	0.631	0.625				281	173	164
team31_bundle2_en_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.304	0.458	0.366				204	466	241
team33_bundle2_en_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.299	0.112	0.163				50	117	395
team10_bundle1_en_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.172	0.2	0.185				5	24	20
team10_bundle1_en_2	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.062	0.04	0.049				1	15	24
team10_bundle1_en_3	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.059	0.04	0.048				1	16	24
team31_bundle2_en_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.0	0.0	0				0	17	25
team33_bundle2_en_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0	0.0	0				0	0	25
team10_bundle1_en_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.172	0.2	0.185				5	24	20
team10_bundle1_en_2	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.062	0.04	0.049				1	15	24
team10_bundle1_en_3	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.059	0.04	0.048				1	16	24
team31_bundle2_en_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.0	0.0	0				0	17	25
team33_bundle2_en_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0	0.0	0				0	0	25
team10_bundle1_en_1	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.172	0.2	0.185				5	24	20
team10_bundle1_en_2	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.062	0.04	0.049				1	15	24
team10_bundle1_en_3	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.059	0.04	0.048				1	16	24
team31_bundle2_en_1	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.0	0.0	0				0	17	25
team33_bundle2_en_1	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0	0.0	0				0	0	25
