System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team10_bundle1_en_3	NEL-LIT-micro-fuzzy-best@1	ALL	0.523	0.539	0.531				240	219	205
team10_bundle1_en_1	NEL-LIT-micro-fuzzy-best@1	ALL	0.514	0.533	0.523				237	224	208
team10_bundle1_en_2	NEL-LIT-micro-fuzzy-best@1	ALL	0.496	0.506	0.501				225	229	220
team31_bundle2_en_1	NEL-LIT-micro-fuzzy-best@1	ALL	0.249	0.375	0.3				167	503	278
team33_bundle2_en_1	NEL-LIT-micro-fuzzy-best@1	ALL	0.257	0.097	0.141				43	124	402
team10_bundle1_en_1	NEL-METO-micro-fuzzy-best@1	ALL	0.172	0.2	0.185				5	24	20
team10_bundle1_en_2	NEL-METO-micro-fuzzy-best@1	ALL	0.062	0.04	0.049				1	15	24
team10_bundle1_en_3	NEL-METO-micro-fuzzy-best@1	ALL	0.059	0.04	0.048				1	16	24
team31_bundle2_en_1	NEL-METO-micro-fuzzy-best@1	ALL	0.0	0.0	0				0	17	25
team33_bundle2_en_1	NEL-METO-micro-fuzzy-best@1	ALL	0	0.0	0				0	0	25
