System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team37_bundle5_en_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.633	0.685	0.658				305	177	140
team10_bundle5_en_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.593	0.593	0.593				264	181	181
team10_bundle5_en_2	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.593	0.593	0.593				264	181	181
team31_bundle5_en_3	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.607	0.58	0.593				258	167	187
team10_bundle5_en_3	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.58	0.58	0.58				258	187	187
aidalight-baseline_bundle5_en_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.506	0.506	0.506				225	220	220
team31_bundle5_en_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.365	0.369	0.367				164	285	281
team31_bundle5_en_2	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.344	0.353	0.348				157	300	288
team33_bundle5_en_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.344	0.119	0.177				53	101	392
team10_bundle5_en_3	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.726	0.726	0.726				323	122	122
team10_bundle5_en_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.721	0.721	0.721				321	124	124
team10_bundle5_en_2	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.719	0.719	0.719				320	125	125
team37_bundle5_en_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.633	0.685	0.658				305	177	140
team31_bundle5_en_3	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.607	0.58	0.593				258	167	187
aidalight-baseline_bundle5_en_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.506	0.506	0.506				225	220	220
team31_bundle5_en_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.463	0.467	0.465				208	241	237
team31_bundle5_en_2	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.451	0.463	0.457				206	251	239
team33_bundle5_en_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.39	0.135	0.2				60	94	385
team10_bundle5_en_3	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.744	0.744	0.744				331	114	114
team10_bundle5_en_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.737	0.737	0.737				328	117	117
team10_bundle5_en_2	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.735	0.735	0.735				327	118	118
team37_bundle5_en_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.633	0.685	0.658				305	177	140
team31_bundle5_en_3	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.607	0.58	0.593				258	167	187
team31_bundle5_en_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.552	0.557	0.555				248	201	197
team31_bundle5_en_2	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.54	0.555	0.548				247	210	198
aidalight-baseline_bundle5_en_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.506	0.506	0.506				225	220	220
team33_bundle5_en_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.39	0.135	0.2				60	94	385
