System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team10_bundle1_fr_2	NE-COARSE-LIT-micro-fuzzy	ALL	0.912	0.931	0.921				1490	144	110
team10_bundle1_fr_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.909	0.926	0.917				1482	149	118
team10_bundle1_fr_3	NE-COARSE-LIT-micro-fuzzy	ALL	0.909	0.926	0.917				1482	149	118
team39_bundle4_fr_3	NE-COARSE-LIT-micro-fuzzy	ALL	0.887	0.909	0.898				1454	186	146
team39_bundle4_fr_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.886	0.908	0.897				1453	187	147
team39_bundle4_fr_2	NE-COARSE-LIT-micro-fuzzy	ALL	0.88	0.913	0.896				1461	200	139
team28_bundle4_fr_2	NE-COARSE-LIT-micro-fuzzy	ALL	0.886	0.902	0.894				1444	186	156
team28_bundle4_fr_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.879	0.897	0.888				1435	197	165
team1_bundle3_fr_2	NE-COARSE-LIT-micro-fuzzy	ALL	0.893	0.861	0.877				1378	165	222
team1_bundle3_fr_3	NE-COARSE-LIT-micro-fuzzy	ALL	0.875	0.854	0.865				1367	195	233
team1_bundle3_fr_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.859	0.866	0.862				1386	228	214
team31_bundle2_fr_2	NE-COARSE-LIT-micro-fuzzy	ALL	0.794	0.869	0.83				1391	361	209
team23_bundle4_fr_2	NE-COARSE-LIT-micro-fuzzy	ALL	0.825	0.817	0.821				1307	278	293
team23_bundle4_fr_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.856	0.785	0.819				1256	212	344
team37_bundle4_fr_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.755	0.842	0.796				1347	438	253
team7_bundle2_fr_2	NE-COARSE-LIT-micro-fuzzy	ALL	0.828	0.744	0.784				1191	248	409
team7_bundle2_fr_3	NE-COARSE-LIT-micro-fuzzy	ALL	0.828	0.744	0.784				1191	248	409
team7_bundle2_fr_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.823	0.722	0.769				1155	249	445
team28_bundle4_fr_3	NE-COARSE-LIT-micro-fuzzy	ALL	0.844	0.697	0.763				1115	206	485
team11_bundle4_fr_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.796	0.72	0.756				1152	296	448
team33_bundle2_fr_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.765	0.689	0.725				1103	338	497
team16_bundle1_fr_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.604	0.344	0.439				551	361	1049
team40_bundle4_fr_1	NE-COARSE-LIT-micro-fuzzy	ALL	0.876	0.273	0.416				436	62	1164
team23_bundle4_fr_3	NE-COARSE-LIT-micro-fuzzy	ALL	0.331	0.554	0.414				887	1793	713
team10_bundle1_fr_1	NE-COARSE-METO-micro-fuzzy	ALL	0.734	0.839	0.783				94	34	18
team10_bundle1_fr_3	NE-COARSE-METO-micro-fuzzy	ALL	0.734	0.839	0.783				94	34	18
team39_bundle4_fr_3	NE-COARSE-METO-micro-fuzzy	ALL	0.655	0.696	0.675				78	41	34
team10_bundle1_fr_2	NE-COARSE-METO-micro-fuzzy	ALL	0.676	0.67	0.673				75	36	37
team39_bundle4_fr_2	NE-COARSE-METO-micro-fuzzy	ALL	0.707	0.58	0.637				65	27	47
team1_bundle3_fr_1	NE-COARSE-METO-micro-fuzzy	ALL	0.708	0.562	0.627				63	26	49
team1_bundle3_fr_2	NE-COARSE-METO-micro-fuzzy	ALL	0.708	0.562	0.627				63	26	49
team39_bundle4_fr_1	NE-COARSE-METO-micro-fuzzy	ALL	0.69	0.536	0.603				60	27	52
team1_bundle3_fr_3	NE-COARSE-METO-micro-fuzzy	ALL	0.679	0.509	0.582				57	27	55
team11_bundle4_fr_1	NE-COARSE-METO-micro-fuzzy	ALL	0.468	0.464	0.466				52	59	60
team33_bundle2_fr_1	NE-COARSE-METO-micro-fuzzy	ALL	0.003	0.036	0.005				4	1437	108
team16_bundle1_fr_1	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	112
team23_bundle4_fr_1	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	112
team23_bundle4_fr_2	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	112
team23_bundle4_fr_3	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	112
team28_bundle4_fr_1	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	112
team28_bundle4_fr_2	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	112
team28_bundle4_fr_3	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	112
team31_bundle2_fr_2	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	112
team37_bundle4_fr_1	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	112
team40_bundle4_fr_1	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	112
team7_bundle2_fr_1	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	112
team7_bundle2_fr_2	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	112
team7_bundle2_fr_3	NE-COARSE-METO-micro-fuzzy	ALL	0	0.0	0				0	0	112
