System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team10_bundle1_fr_2	NE-COARSE-LIT-micro-strict	ALL	0.831	0.849	0.84				1358	276	242
team10_bundle1_fr_1	NE-COARSE-LIT-micro-strict	ALL	0.823	0.839	0.831				1343	288	257
team10_bundle1_fr_3	NE-COARSE-LIT-micro-strict	ALL	0.823	0.839	0.831				1343	288	257
team39_bundle4_fr_2	NE-COARSE-LIT-micro-strict	ALL	0.799	0.829	0.814				1327	334	273
team39_bundle4_fr_3	NE-COARSE-LIT-micro-strict	ALL	0.798	0.818	0.807				1308	332	292
team39_bundle4_fr_1	NE-COARSE-LIT-micro-strict	ALL	0.791	0.811	0.801				1297	343	303
team28_bundle4_fr_2	NE-COARSE-LIT-micro-strict	ALL	0.788	0.802	0.795				1284	346	316
team28_bundle4_fr_1	NE-COARSE-LIT-micro-strict	ALL	0.778	0.794	0.786				1270	362	330
team1_bundle3_fr_2	NE-COARSE-LIT-micro-strict	ALL	0.793	0.764	0.778				1223	320	377
team1_bundle3_fr_3	NE-COARSE-LIT-micro-strict	ALL	0.776	0.757	0.767				1212	350	388
team1_bundle3_fr_1	NE-COARSE-LIT-micro-strict	ALL	0.754	0.761	0.757				1217	397	383
team23_bundle4_fr_2	NE-COARSE-LIT-micro-strict	ALL	0.693	0.686	0.689				1098	487	502
team31_bundle2_fr_2	NE-COARSE-LIT-micro-strict	ALL	0.656	0.719	0.686				1150	602	450
team23_bundle4_fr_1	NE-COARSE-LIT-micro-strict	ALL	0.715	0.656	0.684				1049	419	551
team7_bundle2_fr_2	NE-COARSE-LIT-micro-strict	ALL	0.705	0.634	0.668				1015	424	585
team7_bundle2_fr_3	NE-COARSE-LIT-micro-strict	ALL	0.705	0.634	0.668				1015	424	585
team7_bundle2_fr_1	NE-COARSE-LIT-micro-strict	ALL	0.697	0.612	0.652				979	425	621
team37_bundle4_fr_1	NE-COARSE-LIT-micro-strict	ALL	0.605	0.675	0.638				1080	705	520
team28_bundle4_fr_3	NE-COARSE-LIT-micro-strict	ALL	0.702	0.579	0.635				927	394	673
team11_bundle4_fr_1	NE-COARSE-LIT-micro-strict	ALL	0.66	0.598	0.627				956	492	644
team33_bundle2_fr_1	NE-COARSE-LIT-micro-strict	ALL	0.53	0.477	0.502				764	677	836
team40_bundle4_fr_1	NE-COARSE-LIT-micro-strict	ALL	0.731	0.228	0.347				364	134	1236
team23_bundle4_fr_3	NE-COARSE-LIT-micro-strict	ALL	0.268	0.449	0.336				718	1962	882
team16_bundle1_fr_1	NE-COARSE-LIT-micro-strict	ALL	0.435	0.248	0.316				397	515	1203
team10_bundle1_fr_1	NE-COARSE-METO-micro-strict	ALL	0.734	0.839	0.783				94	34	18
team10_bundle1_fr_3	NE-COARSE-METO-micro-strict	ALL	0.734	0.839	0.783				94	34	18
team39_bundle4_fr_3	NE-COARSE-METO-micro-strict	ALL	0.647	0.688	0.667				77	42	35
team10_bundle1_fr_2	NE-COARSE-METO-micro-strict	ALL	0.658	0.652	0.655				73	38	39
team39_bundle4_fr_2	NE-COARSE-METO-micro-strict	ALL	0.696	0.571	0.627				64	28	48
team1_bundle3_fr_1	NE-COARSE-METO-micro-strict	ALL	0.697	0.554	0.617				62	27	50
team1_bundle3_fr_2	NE-COARSE-METO-micro-strict	ALL	0.697	0.554	0.617				62	27	50
team39_bundle4_fr_1	NE-COARSE-METO-micro-strict	ALL	0.69	0.536	0.603				60	27	52
team1_bundle3_fr_3	NE-COARSE-METO-micro-strict	ALL	0.643	0.482	0.551				54	30	58
team11_bundle4_fr_1	NE-COARSE-METO-micro-strict	ALL	0.423	0.42	0.422				47	64	65
team33_bundle2_fr_1	NE-COARSE-METO-micro-strict	ALL	0.002	0.027	0.004				3	1438	109
team16_bundle1_fr_1	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	112
team23_bundle4_fr_1	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	112
team23_bundle4_fr_2	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	112
team23_bundle4_fr_3	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	112
team28_bundle4_fr_1	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	112
team28_bundle4_fr_2	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	112
team28_bundle4_fr_3	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	112
team31_bundle2_fr_2	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	112
team37_bundle4_fr_1	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	112
team40_bundle4_fr_1	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	112
team7_bundle2_fr_1	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	112
team7_bundle2_fr_2	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	112
team7_bundle2_fr_3	NE-COARSE-METO-micro-strict	ALL	0	0.0	0				0	0	112
