System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team10_bundle1_fr_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.612	0.621	0.617				993	629	606
team10_bundle1_fr_2	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.612	0.622	0.617				995	632	604
team10_bundle1_fr_3	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.613	0.622	0.617				994	628	605
team7_bundle2_fr_2	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.465	0.417	0.439				666	766	933
team7_bundle2_fr_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.47	0.41	0.438				656	741	943
team7_bundle2_fr_3	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.457	0.409	0.432				654	778	945
team33_bundle2_fr_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.616	0.321	0.422				513	320	1086
team31_bundle2_fr_2	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.353	0.196	0.252				313	574	1286
team16_bundle1_fr_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.15	0.084	0.108				135	768	1464
team10_bundle1_fr_3	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.676	0.686	0.681				1097	525	502
team10_bundle1_fr_2	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.67	0.682	0.676				1090	537	509
team10_bundle1_fr_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.67	0.68	0.675				1087	535	512
team7_bundle2_fr_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.53	0.463	0.494				740	657	859
team7_bundle2_fr_2	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.519	0.465	0.49				743	689	856
team7_bundle2_fr_3	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.51	0.457	0.482				730	702	869
team33_bundle2_fr_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.624	0.325	0.428				520	313	1079
team31_bundle2_fr_2	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.393	0.218	0.281				349	538	1250
team16_bundle1_fr_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.15	0.084	0.108				135	768	1464
team10_bundle1_fr_3	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.695	0.705	0.7				1127	495	472
team10_bundle1_fr_2	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.688	0.7	0.694				1120	507	479
team10_bundle1_fr_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.688	0.698	0.693				1116	506	483
team7_bundle2_fr_2	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.554	0.497	0.524				794	638	805
team7_bundle2_fr_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.56	0.49	0.523				783	614	816
team7_bundle2_fr_3	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.547	0.49	0.517				783	649	816
team33_bundle2_fr_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.629	0.328	0.431				524	309	1075
team31_bundle2_fr_2	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.397	0.22	0.283				352	535	1247
team16_bundle1_fr_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.15	0.084	0.108				135	768	1464
team10_bundle1_fr_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.366	0.625	0.462				70	121	42
team10_bundle1_fr_3	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.366	0.625	0.462				70	121	42
team10_bundle1_fr_2	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.343	0.536	0.418				60	115	52
team7_bundle2_fr_3	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.041	0.527	0.076				59	1373	53
team7_bundle2_fr_2	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.041	0.518	0.075				58	1374	54
team7_bundle2_fr_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.039	0.482	0.072				54	1343	58
team16_bundle1_fr_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.0	0.0	0				0	121	112
team31_bundle2_fr_2	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.0	0.0	0				0	66	112
team33_bundle2_fr_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0	0.0	0				0	0	112
team10_bundle1_fr_3	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.387	0.661	0.488				74	117	38
team10_bundle1_fr_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.382	0.652	0.482				73	118	39
team10_bundle1_fr_2	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.354	0.554	0.432				62	113	50
team7_bundle2_fr_2	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.043	0.554	0.08				62	1370	50
team7_bundle2_fr_3	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.043	0.554	0.08				62	1370	50
team7_bundle2_fr_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.042	0.518	0.077				58	1339	54
team16_bundle1_fr_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.0	0.0	0				0	121	112
