System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team10_bundle1_fr_3	NEL-LIT-micro-fuzzy-best@1	ALL	0.594	0.602	0.598				963	659	636
team10_bundle1_fr_1	NEL-LIT-micro-fuzzy-best@1	ALL	0.592	0.601	0.597				961	661	638
team10_bundle1_fr_2	NEL-LIT-micro-fuzzy-best@1	ALL	0.592	0.602	0.597				963	664	636
team7_bundle2_fr_2	NEL-LIT-micro-fuzzy-best@1	ALL	0.446	0.399	0.421				638	794	961
team7_bundle2_fr_1	NEL-LIT-micro-fuzzy-best@1	ALL	0.45	0.393	0.419				628	769	971
team7_bundle2_fr_3	NEL-LIT-micro-fuzzy-best@1	ALL	0.437	0.391	0.413				626	806	973
team33_bundle2_fr_1	NEL-LIT-micro-fuzzy-best@1	ALL	0.594	0.31	0.407				495	338	1104
team31_bundle2_fr_2	NEL-LIT-micro-fuzzy-best@1	ALL	0.352	0.195	0.251				312	575	1287
team16_bundle1_fr_1	NEL-LIT-micro-fuzzy-best@1	ALL	0.15	0.084	0.108				135	768	1464
team10_bundle1_fr_1	NEL-METO-micro-fuzzy-best@1	ALL	0.236	0.402	0.297				45	146	67
team10_bundle1_fr_3	NEL-METO-micro-fuzzy-best@1	ALL	0.236	0.402	0.297				45	146	67
team10_bundle1_fr_2	NEL-METO-micro-fuzzy-best@1	ALL	0.217	0.339	0.265				38	137	74
team7_bundle2_fr_3	NEL-METO-micro-fuzzy-best@1	ALL	0.023	0.295	0.043				33	1399	79
team7_bundle2_fr_2	NEL-METO-micro-fuzzy-best@1	ALL	0.022	0.286	0.041				32	1400	80
team7_bundle2_fr_1	NEL-METO-micro-fuzzy-best@1	ALL	0.02	0.25	0.037				28	1369	84
team16_bundle1_fr_1	NEL-METO-micro-fuzzy-best@1	ALL	0.0	0.0	0				0	121	112
team31_bundle2_fr_2	NEL-METO-micro-fuzzy-best@1	ALL	0.0	0.0	0				0	66	112
team33_bundle2_fr_1	NEL-METO-micro-fuzzy-best@1	ALL	0	0.0	0				0	0	112
