System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team10_bundle5_fr_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.66	0.657	0.659				1051	542	548
team10_bundle5_fr_2	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.654	0.652	0.653				1042	551	557
team10_bundle5_fr_3	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.653	0.65	0.652				1040	553	559
team37_bundle5_fr_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.604	0.67	0.635				1072	704	527
aidalight-baseline_bundle5_fr_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.516	0.508	0.512				813	763	786
team33_bundle5_fr_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.699	0.383	0.495				613	264	986
team7_bundle5_fr_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.492	0.491	0.492				785	809	814
team7_bundle5_fr_3	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.486	0.482	0.484				771	817	828
team7_bundle5_fr_2	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.455	0.452	0.454				723	865	876
team10_bundle5_fr_3	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.726	0.723	0.724				1156	437	443
team10_bundle5_fr_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.722	0.719	0.721				1150	443	449
team10_bundle5_fr_2	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.718	0.715	0.717				1144	449	455
team37_bundle5_fr_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.604	0.67	0.635				1072	704	527
team7_bundle5_fr_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.56	0.558	0.559				892	702	707
team7_bundle5_fr_3	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.517	0.513	0.515				821	767	778
aidalight-baseline_bundle5_fr_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.516	0.508	0.512				813	763	786
team33_bundle5_fr_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.71	0.39	0.503				623	254	976
team7_bundle5_fr_2	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.486	0.482	0.484				771	817	828
team10_bundle5_fr_3	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.746	0.743	0.744				1188	405	411
